sample,local_idx,sample_idx,rf_seed,Vs1,H,CoV,Vs2,f0,reference,method,f_peak,A_peak,delta_f_peak,delta_ln_A_peak,gof_af,rel_l2,pearson,sigma_ln_spatial_mean
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,Passeri tts,0.4331483244895935,11.893455247846624,0.0195139646530151,0.00982364208257,0.1529230885026232,0.3998277402091177,0.832855671421046,
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,Pretell,0.4174655377864837,11.294473205556976,0.0038311779499053,-0.0418511183502911,0.0756928977444144,0.3009836228467178,0.9096360348326546,
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,OpenSees 2-D,2.308677911758423,15.667762756347656,0.0,0.0,0.0,0.0,1.0,0.1594169139438482
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,GINO,2.308677911758423,10.660877227783203,0.0,-0.3850245668769458,0.1260840851348419,0.3020055954160049,0.9095444404777288,0.2142070178670839
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,1D Base Case,2.76338529586792,12.76701831817627,0.454707384109497,-0.2047401221219509,0.2597517666822985,0.7323042939106191,0.4415418439923201,5.628440903454534e-17
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,Pretell's approach,2.2560739517211914,20.113435745239254,-0.0526039600372314,0.2497827630261661,0.1077402928652193,0.3491505293260443,0.9386297516757924,0.1967852251038541
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,Toro Vs,2.675638437271118,5.336019503673637,0.3669605255126953,-1.0771253100478733,0.1995627064325907,0.5339955200027551,0.6996545759838086,
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,Passeri tts,2.76338529586792,11.897809473339006,0.454707384109497,-0.2752509684633661,0.2586293674854236,0.7162241677517377,0.4530922770996565,
8,732,5674,1901665,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,2.760262964964348,OpenSees 2-D,Pretell,2.2456979751586914,7.167974559286299,-0.0629799365997314,-0.7819821473061469,0.0973737329898392,0.3849797648283276,0.8610829475112324,
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,OpenSees 2-D,0.5232614278793335,9.467507362365724,0.0,0.0,0.0,0.0,1.0,0.199347179883336
