sample,local_idx,sample_idx,method,reference,Vs1,H,CoV,Vs2,rel_l2_low,rel_l2_low_central,rel_l2_mid,rel_l2_mid_central,rel_l2_high,rel_l2_high_central,rel_l2_all,rel_l2_all_central
60,982,7571,Pretell's approach,OpenSees 2-D,115.0111146854982,22.0,0.2216604843735695,1104.9944564163814,0.0060226854292119,0.0060918994009637,0.3713863795500284,0.5138807814516447,0.3168068251977092,0.2934775264440278,0.3524566520661871,0.4564848571123804
61,117,889,GINO,OpenSees 2-D,253.5532033615742,89.0,0.2226570691913366,1071.4956690352062,0.0366751244659714,0.0270108986233133,0.2851811804768541,0.3121262593034915,0.3298684588680838,0.3318299526931982,0.2852181426041185,0.3066264857972227
61,117,889,1D Base Case,OpenSees 2-D,253.5532033615742,89.0,0.2226570691913366,1071.4956690352062,0.054632121276184,0.0538611442343049,0.4364741925532308,0.4221126824568585,0.5438553676340306,0.54053572221832,0.4443020773630678,0.4335161427574308
61,117,889,Pretell's approach,OpenSees 2-D,253.5532033615742,89.0,0.2226570691913366,1071.4956690352062,0.0569079104313633,0.011614132575901,0.3957090521556585,0.0983994682063741,0.4345416584055656,0.4265208703801382,0.3914036394163296,0.1981679714068669
62,586,4474,GINO,OpenSees 2-D,162.81304167035267,78.0,0.1498799065127968,1201.8775771934456,0.190659439213551,0.2099160595171065,0.3330013134344202,0.3769698250625829,0.3115336607547471,0.2793018880687813,0.2838781456837252,0.319357541652945
62,586,4474,1D Base Case,OpenSees 2-D,162.81304167035267,78.0,0.1498799065127968,1201.8775771934456,0.2783228659891574,0.2761548273192784,0.5350054128417111,0.58438938513259,0.5013695374307104,0.4470913163994357,0.4491639430096542,0.4852290996434938
62,586,4474,Pretell's approach,OpenSees 2-D,162.81304167035267,78.0,0.1498799065127968,1201.8775771934456,0.1626380513986448,0.196837830925665,0.4198749790863677,0.507939917184994,0.3880789379327954,0.3514330091893706,0.3399855425092891,0.411064574857603
63,372,2977,GINO,OpenSees 2-D,152.1637712597265,59.0,0.1451793171465397,1042.8236518036715,0.0564176956788671,0.0514323353818065,0.2767297029426837,0.3353548708281206,0.2689252421895009,0.2443705681697225,0.2627620468062314,0.309038846572466
63,372,2977,1D Base Case,OpenSees 2-D,152.1637712597265,59.0,0.1451793171465397,1042.8236518036715,0.0415393487125314,0.049019466420438,0.2662861367002562,0.2957881123284945,0.4652083835165529,0.5609488176666627,0.2931109121164019,0.3375526170642248
63,372,2977,Pretell's approach,OpenSees 2-D,152.1637712597265,59.0,0.1451793171465397,1042.8236518036715,0.0704740571544092,0.0980284466924033,0.4052199686548044,0.4683770621316441,0.3685657421152672,0.3858069306844105,0.3808243691010791,0.437548814026551
64,10,88,GINO,OpenSees 2-D,191.35022152686955,60.0,0.2392275439575314,813.7837618794513,0.0484074896102553,0.0538860186143698,0.1959645426646955,0.1941784625345115,0.4701667616639513,0.2722620149054612,0.3006003838805351,0.2096180620605889
64,10,88,1D Base Case,OpenSees 2-D,191.35022152686955,60.0,0.2392275439575314,813.7837618794513,0.0490159608931425,0.0408012896243879,0.4773983459182966,0.4709835219915328,0.5718680829672713,0.42296868125268,0.4919392536754904,0.440093324872979
64,10,88,Pretell's approach,OpenSees 2-D,191.35022152686955,60.0,0.2392275439575314,813.7837618794513,0.033624803272352,0.0543826185992423,0.414026525037918,0.6846424431830997,0.4556211638621015,0.5242757723283108,0.4129600099988858,0.6194445987967914
65,628,4872,GINO,OpenSees 2-D,213.40427906371383,39.0,0.1261519130319356,931.3609844735406,0.1071468620445284,0.0625226361966843,0.2151588231839004,0.2047975908666872,0.3477102633988511,0.2557024933752327,0.2458510184980228,0.2110596358864624
65,628,4872,1D Base Case,OpenSees 2-D,213.40427906371383,39.0,0.1261519130319356,931.3609844735406,0.0047249257884228,0.002861128000396,0.2568564477138544,0.1592186939109867,0.4897203734939974,0.2907234651155461,0.3155873546366024,0.1879583869059479
65,628,4872,Pretell's approach,OpenSees 2-D,213.40427906371383,39.0,0.1261519130319356,931.3609844735406,0.0044606060935915,0.001198288032289,0.3126115926949318,0.104291092815854,0.384041734002899,0.2541621490496191,0.322446449408806,0.1432495023961955
66,927,7086,GINO,OpenSees 2-D,139.00239207672394,52.0,0.1663794327527284,1004.2557916079942,0.04085193603752,0.0300129749445558,0.3546690725326255,0.3864903540682846,0.3037409226458611,0.3681532780483305,0.3289102995822948,0.3625631694952652
66,927,7086,1D Base Case,OpenSees 2-D,139.00239207672394,52.0,0.1663794327527284,1004.2557916079942,0.0632639578611768,0.051978236296606,0.3505449135283537,0.265951917493023,0.4239568269967241,0.3617164300690442,0.3435696009978658,0.2633785789681779
66,927,7086,Pretell's approach,OpenSees 2-D,139.00239207672394,52.0,0.1663794327527284,1004.2557916079942,0.0461131414130763,0.0172420328550159,0.3832022047467934,0.3217106124023401,0.3708552269894213,0.3592354647853109,0.3610246597687783,0.3076778079772407
